area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon,Const_Stat,ownership
"46,50 m²",listing_no_promo,46C07,,,Biuro Obrotu Nieruchomościami 5 Aleja Anna Popielska,369000.0,7935.0,2 pokoje,Mieszkanie na sprzedaż:,2 pokoje Piątkowo ul Hulewiczów 2006r,60681391,https://www.otodom.pl/oferta/2-pokoje-piatkowo-ul-hulewiczow-2006r-ID46C07.html#2bd0e70758,52.45748760000001,16.9014549,no data,no data
"47,50 m²",listing_no_promo,46BX3,,,Corner Nieruchomości,353000.0,7432.0,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie 3 pokojowe na Jeżycach,60681201,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-na-jezycach-ID46BX3.html#2bd0e70758,52.43315,16.90875,"[""ready_to_use""]","[""full_ownership""]"
"63,30 m²",listing_no_promo,46ndF,,,Oferta pośrednika,439000.0,6935.0,3 pokoje,Mieszkanie na sprzedaż:,Mieszkanie w plombie z cegły z ekstra lokalizacją,60624571,https://www.otodom.pl/oferta/mieszkanie-w-plombie-z-cegly-z-ekstra-lokalizacja-ID46ndF.html#2bd0e70758,52.41330295729958,16.89663471271972,"[""ready_to_use""]","[""full_ownership""]"
25 m²,listing_no_promo,46BRs,,,Oferta prywatna,215000.0,8600.0,1 pokój,Mieszkanie na sprzedaż:,Jeżyce,60680854,https://www.otodom.pl/oferta/jezyce-ID46BRs.html#2bd0e70758,52.43655,16.84479,"[""ready_to_use""]","[""share""]"
"55,15 m²",listing_no_promo,43B7K,,,#NIERUCHOMOŚCI,420000.0,7616.0,3 pokoje,Mieszkanie na sprzedaż:,Ładne trzy pokoje na Podolanach!,59963036,https://www.otodom.pl/oferta/ladne-trzy-pokoje-na-podolanach-ID43B7K.html#2bd0e70758,52.454204,16.8840962,"[""ready_to_use""]","[""full_ownership""]"
"31,24 m²",listing_no_promo,45MII,,,Smart Nieruchomości,265500.0,8499.0,2 pokoje,Mieszkanie na sprzedaż:,"Druskiennicka31m2,2pokoje,nowe,wykończone,ochrona",60484268,https://www.otodom.pl/oferta/druskiennicka31m2-2pokoje-nowe-wykonczone-ochrona-ID45MII.html#2bd0e70758,52.45718000000001,16.88339,"[""ready_to_use""]","[""full_ownership""]"
"65,24 m²",listing_no_promo,44NHP,,,BAWA INVEST Spółka z ograniczoną odpowiedzialnością Sp. k.,,,3 pokoje,Mieszkanie na sprzedaż:,Apartamenty Rogozińska - Mieszkanie Górne 20 D,60249729,https://www.otodom.pl/oferta/apartamenty-rogozinska-mieszkanie-gorne-20-d-ID44NHP.html#2bd0e70758,52.43748000000001,16.83279,no data,no data
"65,24 m²",listing_no_promo,44NHT,,,BAWA INVEST Spółka z ograniczoną odpowiedzialnością Sp. k.,,,3 pokoje,Mieszkanie na sprzedaż:,Apartamenty Rogozińska - Mieszkanie Górne 20 F,60249733,https://www.otodom.pl/oferta/apartamenty-rogozinska-mieszkanie-gorne-20-f-ID44NHT.html#2bd0e70758,52.43748000000001,16.83279,no data,no data
"76,43 m²",listing_no_promo,46oef,,,Oferta prywatna,620000.0,8112.0,3 pokoje,Mieszkanie na sprzedaż:,Przestronne i klimatyczne mieszkanie na Jeżycach.,60628451,https://www.otodom.pl/oferta/przestronne-i-klimatyczne-mieszkanie-na-jezycach-ID46oef.html#2bd0e70758,52.41031966035245,16.895497358721936,"[""to_completion""]","[""full_ownership""]"
69 m²,listing_no_promo,46BeM,,,Dominanta Nieruchomości,455400.0,6600.0,3 pokoje,Mieszkanie na sprzedaż:,Nowoczesne segmenty - ogródek,60678456,https://www.otodom.pl/oferta/nowoczesne-segmenty-ogrodek-ID46BeM.html#2bd0e70758,52.42415,16.86218,no data,"[""full_ownership""]"
46 m²,listing_no_promo,468S1,,,Obsługa zdalna Oferta prywatna,399500.0,8685.0,2 pokoje,Mieszkanie na sprzedaż:,Apartament /super lokaliz/odnowiona willa/ 0%prow.,60569413,https://www.otodom.pl/oferta/apartament-super-lokaliz-odnowiona-willa-0-prow-ID468S1.html#2bd0e70758,52.43315,16.90875,"[""ready_to_use""]","[""full_ownership""]"
55 m²,listing_no_promo,46B4g,,,Obsługa zdalna Biuro Nieruchomości CASTLE,549000.0,9982.0,2 pokoje,Mieszkanie na sprzedaż:,"Apartament w pięknej, zrewitalizowanej kamienicy!",60677804,https://www.otodom.pl/oferta/apartament-w-pieknej-zrewitalizowanej-kamienicy-ID46B4g.html#2bd0e70758,52.413853347295294,16.912851343408214,"[""ready_to_use""]",no data
"89,13 m²",listing_no_promo,46B4n,,,Poznańscy Doradcy Nieruchomości,1260000.0,14137.0,4 pokoje,Mieszkanie na sprzedaż:,Unikatowy apartament w wysokim standardzie,60677811,https://www.otodom.pl/oferta/unikatowy-apartament-w-wysokim-standardzie-ID46B4n.html#2bd0e70758,52.41441,16.904889999999998,"[""ready_to_use""]","[""full_ownership""]"
"48,11 m²",listing_no_promo,44qCp,,,Nieruchomości Konwerski,369271.0,7676.0,2 pokoje,Mieszkanie na sprzedaż:,Nowe Od Developera Na Jeżycach ! Możliwość Wykończ,60160981,https://www.otodom.pl/oferta/nowe-od-developera-na-jezycach-mozliwosc-wykoncz-ID44qCp.html#2bd0e70758,52.43655,16.84479,no data,no data
"65,65 m²",listing_no_promo,44tss,,,Nieruchomości Konwerski,484913.0,7386.0,3 pokoje,Mieszkanie na sprzedaż:,"Jeżyce, Nowe od Dewelopera, Możliwość Wykończenia",60171896,https://www.otodom.pl/oferta/jezyce-nowe-od-dewelopera-mozliwosc-wykonczenia-ID44tss.html#2bd0e70758,52.43655,16.84479,no data,no data
"77,86 m²",listing_no_promo,46Apa,,,Choiński Kroll Nieruchomości,550000.0,7064.0,3 pokoje,Mieszkanie na sprzedaż:,"0% 3/4 pokoje gotowe do odbioru, garaż na 2 auta",60675256,https://www.otodom.pl/oferta/0-3-4-pokoje-gotowe-do-odbioru-garaz-na-2-auta-ID46Apa.html#2bd0e70758,52.43527099999999,16.8262153,"[""to_completion""]","[""full_ownership""]"
"51,16 m²",listing_no_promo,46AiS,,,FiN Nieruchomości,420000.0,8210.0,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 51,16 m², Poznań",60674866,https://www.otodom.pl/oferta/mieszkanie-51-16-m-poznan-ID46AiS.html#2bd0e70758,52.412527,16.90875,no data,"[""full_ownership""]"
"68,29 m²",listing_no_promo,46A8T,,,"Biuro Obrotu Nieruchomościami ""Winogrady"" s.c.",530000.0,7761.0,3 pokoje,Mieszkanie na sprzedaż:,"Przestronne 3-pokojowe, nowe budownictwo, garaż",60674247,https://www.otodom.pl/oferta/przestronne-3-pokojowe-nowe-budownictwo-garaz-ID46A8T.html#2bd0e70758,52.4440584,16.893462200000002,"[""ready_to_use""]","[""full_ownership""]"
83 m²,listing_no_promo,46zTL,,,Pietras Nieruchomości,475001.0,5723.0,3 pokoje,Mieszkanie na sprzedaż:,Jeżyce - duże mieszkanie Poznańska Ataner,60673309,https://www.otodom.pl/oferta/jezyce-duze-mieszkanie-poznanska-ataner-ID46zTL.html#2bd0e70758,52.4139057,16.9099331,no data,no data
"53,60 m²",listing_no_promo,46zNb,,,Immo House,332500.0,6203.0,2 pokoje,Mieszkanie na sprzedaż:,"Jezyce, 2 pok. wyremontowane, niska cena!",60672901,https://www.otodom.pl/oferta/jezyce-2-pok-wyremontowane-niska-cena-ID46zNb.html#2bd0e70758,52.416314,16.90762,no data,"[""full_ownership""]"
"39,75 m²",listing_no_promo,3Qogc,,,Villa sp. z o.o. sp. k.,331594.0,8342.0,2 pokoje,Mieszkanie na sprzedaż:,Nowe Życie Jeżyc 3.5,56815324,https://www.otodom.pl/oferta/nowe-zycie-jezyc-3-5-ID3Qogc.html#2bd0e70758,52.41827303772774,16.90185063874613,"[""to_completion""]","[""full_ownership""]"
